PLAYER_NAME,BBREF_ID,TEAM,SALARY,SEASON
Edmond Sumner,sumneed01,BRK,2320000.0,2021-22
Dennis Smith,smithde03,POR,1789256.0,2021-22
Daishen Nix,nixda01,HOU,612000.0,2021-22
Malik Monk,monkma01,LAL,1789256.0,2021-22
Drew Eubanks,eubandr01,POR,477024.0,2021-22
Mikal Bridges,bridgmi01,PHO,5557725.0,2021-22
Keita Bates-Diop,bateske01,SAS,1729217.0,2021-22
Jake Layman,laymaja01,MIN,3940184.0,2021-22
Micah Potter,pottemi01,DET,53176.0,2021-22
Paul Millsap,millspa01,PHI,2641691.0,2021-22
Robert Covington,covinro01,LAC,12975471.0,2021-22
Emmanuel Mudiay,mudiaem01,SAC,111457.0,2021-22
Obi Toppin,toppiob01,NYK,5105160.0,2021-22
Bones Hyland,hylanbo01,DEN,2096880.0,2021-22
Demetrius Jackson,jacksde01,BOS,92857.0,2021-22
Brandon Williams,willibr03,POR,53176.0,2021-22
Nicolas Batum,batumni01,CHO,8856969.0,2021-22
Patrick Patterson,pattepa01,OKC,737066.0,2021-22
Javonte Smart,smartja01,MIA,0.0,2021-22
Austin Reaves,reaveau01,LAL,925258.0,2021-22
Donovan Mitchell,mitchdo01,UTA,28103500.0,2021-22
Jock Landale,landajo01,SAS,925258.0,2021-22
Timofey Mozgov,mozgoti01,ORL,5573334.0,2021-22
Isaiah Hartenstein,harteis01,LAC,1729217.0,2021-22
Eugene Omoruyi,omorueu01,DAL,0.0,2021-22
Ivica Zubac,zubaciv01,LAC,7518518.0,2021-22
Robin Lopez,lopezro01,ORL,5000000.0,2021-22
Gary Trent,trentga02,TOR,16000000.0,2021-22
Jamal Murray,murraja01,DEN,29467800.0,2021-22
DeMarcus Cousins,couside01,DEN,1138659.0,2021-22
Scotty Hopson,hopsosc01,OKC,99380.0,2021-22
Langston Galloway,gallola01,BRK,257418.0,2021-22
Sharife Cooper,coopesh01,ATL,0.0,2021-22
Xavier Moon,moonxa01,LAC,159528.0,2021-22
Georgios Kalaitzakis,kalaige01,MIL,462629.0,2021-22
Joakim Noah,noahjo01,NYK,6431666.0,2021-22
Wenyen Gabriel,gabriwe01,BRK,99380.0,2021-22
Kevon Looney,looneke01,GSW,5178572.0,2021-22
Aric Holman,holmaar01,MIA,53176.0,2021-22
David Johnson,johnsda08,TOR,0.0,2021-22
Zeke Nnaji,nnajize01,DEN,2498760.0,2021-22
Jaysean Paige,paigeja01,DET,53176.0,2021-22
Victor Oladipo,oladivi01,MIA,2389641.0,2021-22
Deni Avdija,avdijde01,WAS,4692840.0,2021-22
Brandon Knight,knighbr03,DAL,276038.0,2021-22
Lindell Wigginton,wiggili01,MIL,0.0,2021-22
Jordan Poole,poolejo01,GSW,2161440.0,2021-22
Ryan Arcidiacono,arcidry01,NYK,791798.0,2021-22
Luke Kennard,kennalu01,LAC,12727273.0,2021-22
Devonte' Graham,grahade01,NOP,11000000.0,2021-22
Braxton Key,keybr01,DET,53176.0,2021-22
Frank Kaminsky,kaminfr01,PHO,2089448.0,2021-22
James Johnson,johnsja01,BRK,2641691.0,2021-22
JaMychal Green,greenja01,DEN,8200000.0,2021-22
Louis King,kinglo02,SAC,0.0,2021-22
Justin Robinson,robinju01,DET,95930.0,2021-22
Patrick Beverley,beverpa01,MIN,14320988.0,2021-22
Xavier Tillman,tillmxa01,MEM,1517981.0,2021-22
Seth Curry,curryse01,BRK,8207518.0,2021-22
Reggie Perry,perryre01,IND,85578.0,2021-22
Nikola JokiÄ,jokicni01,DEN,30510423.0,2021-22
Derrick Rose,rosede01,NYK,13445120.0,2021-22
Duane Washington,washidu02,IND,950000.0,2021-22
Dylan Windler,windldy01,CLE,2239200.0,2021-22
Naz Reid,reidna01,MIN,1782621.0,2021-22
De'Andre Hunter,huntede01,ATL,7775400.0,2021-22
Nerlens Noel,noelne01,NYK,8800000.0,2021-22
Taj Gibson,gibsota01,NYK,4910000.0,2021-22
Zavier Simpson,simpsza01,OKC,53176.0,2021-22
Ish Smith,smithis01,WAS,4500000.0,2021-22
Tre Scott,scotttr01,CLE,53176.0,2021-22
Yves Pons,ponsyv01,MEM,0.0,2021-22
Paul Reed,reedpa01,PHI,1517981.0,2021-22
T.J. Warren,warretj01,IND,12690000.0,2021-22
Josh Giddey,giddejo01,OKC,5988000.0,2021-22
Thanasis Antetokounmpo,antetth01,MIL,1729217.0,2021-22
Jrue Holiday,holidjr01,MIL,30133333.0,2021-22
Tyler Hall,hallty01,NYK,53176.0,2021-22
Jordan Nwora,nworajo01,MIL,1517981.0,2021-22
Dewayne Dedmon,dedmode01,DET,2866667.0,2021-22
Robert Woodard,woodaro01,SAC,1517981.0,2021-22
Markus Howard,howarma02,DEN,0.0,2021-22
Nikola VuÄeviÄ,vucevni01,CHI,24000000.0,2021-22
Cody Zeller,zelleco01,POR,2389641.0,2021-22
Luka DonÄiÄ,doncilu01,DAL,10174391.0,2021-22
Yuta Watanabe,watanyu01,TOR,1762796.0,2021-22
Alize Johnson,johnsal02,CHI,705598.0,2021-22
Tre Mann,manntr01,OKC,2901240.0,2021-22
Pat Connaughton,connapa01,MIL,5333333.0,2021-22
Jalen Smith,smithja04,IND,4458000.0,2021-22
Andre Drummond,drumman01,BRK,2401537.0,2021-22
Avery Bradley,bradlav01,LAL,2641691.0,2021-22
George Hill,hillge01,MIL,4000000.0,2021-22
Ben Simmons,simmobe01,BRK,33003936.0,2021-22
Chaundee Brown,brownch05,ATL,53176.0,2021-22
Boban MarjanoviÄ,marjabo01,DAL,3500000.0,2021-22
P.J. Tucker,tuckepj01,MIA,7000000.0,2021-22
Marcos Louzada Silva,louzama01,POR,1786878.0,2021-22
Derrick White,whitede01,BOS,15178571.0,2021-22
Cedi Osman,osmande01,CLE,8133334.0,2021-22
Josh Richardson,richajo01,SAS,11615328.0,2021-22
Spencer Dinwiddie,dinwisp01,DAL,17142857.0,2021-22
Devontae Cacok,cacokde01,SAS,364533.0,2021-22
Kevin Porter,porteke02,HOU,1782621.0,2021-22
DeAndre' Bembry,bembrde01,BRK,1939350.0,2021-22
D. J. Stewart,stewadj02,SAS,0.0,2021-22
Rui Hachimura,hachiru01,WAS,4916160.0,2021-22
Isaiah Todd,toddis01,WAS,1500000.0,2021-22
Trae Young,youngtr01,ATL,8326471.0,2021-22
Emanuel Terry,terryem01,PHO,85578.0,2021-22
Vlatko ÄanÄar,cancavl01,DEN,1782621.0,2021-22
Devon Dotson,dotsode01,CHI,0.0,2021-22
Alex Caruso,carusal01,CHI,8604651.0,2021-22
C.J. Miles,milescj01,BOS,151821.0,2021-22
Andre Iguodala,iguodan01,GSW,2641691.0,2021-22
Norman Powell,powelno01,LAC,15517242.0,2021-22
Javin DeLaurier,delauja01,MIL,53176.0,2021-22
Malik Beasley,beaslma01,MIN,14391964.0,2021-22
Darius Garland,garlada01,CLE,7040880.0,2021-22
Cody Martin,martico01,CHO,1782621.0,2021-22
John Wall,walljo01,HOU,44310840.0,2021-22
Patrick Williams,willipa01,CHI,7422000.0,2021-22
Joel Ayayi,ayayijo01,WAS,0.0,2021-22
Kevin Knox,knoxke01,ATL,5845978.0,2021-22
Haywood Highsmith,highsha01,MIA,547701.0,2021-22
Delon Wright,wrighde01,ATL,8526316.0,2021-22
Ed Davis,davised01,CLE,2641691.0,2021-22
Brandon Goodwin,goodwbr01,CLE,99380.0,2021-22
Denzel Valentine,valende01,NYK,902801.0,2021-22
Markieff Morris,morrima02,MIA,2641691.0,2021-22
Day'Ron Sharpe,sharpda01,BRK,2009040.0,2021-22
Quinndary Weatherspoon,weathqu01,GSW,95930.0,2021-22
Guerschon Yabusele,yabusgu01,BOS,1039080.0,2021-22
Joe Harris,harrijo01,BRK,17357143.0,2021-22
Raul Neto,netora01,WAS,2089448.0,2021-22
Thaddeus Young,youngth01,TOR,14190000.0,2021-22
Jordan McLaughlin,mclaujo01,MIN,2000000.0,2021-22
Zion Williamson,willizi01,NOP,10733400.0,2021-22
Caleb Martin,martica02,MIA,527615.0,2021-22
Neemias Queta,quetane01,SAC,0.0,2021-22
Michael Carter-Williams,cartemi01,ORL,3300000.0,2021-22
Giannis Antetokounmpo,antetgi01,MIL,39344970.0,2021-22
Doug McDermott,mcderdo01,SAS,13750000.0,2021-22
P.J. Washington,washipj01,CHO,4215120.0,2021-22
Jevon Carter,carteje01,BRK,3650000.0,2021-22
Aaron Holiday,holidaa01,PHO,3980551.0,2021-22
Nic Claxton,claxtni01,BRK,1782621.0,2021-22
Bobby Portis,portibo01,MIL,4347600.0,2021-22
Carlik Jones,jonesca03,DAL,53176.0,2021-22
Rodney McGruder,mcgruro01,DET,1939350.0,2021-22
Justin Tillman,tillmju01,ATL,53176.0,2021-22
Klay Thompson,thompkl01,GSW,37980720.0,2021-22
Brandon Ingram,ingrabr01,NOP,29467800.0,2021-22
LaMelo Ball,ballla01,CHO,8231760.0,2021-22
Aaron Nesmith,nesmiaa01,BOS,3631200.0,2021-22
Armoni Brooks,brookar01,HOU,1489065.0,2021-22
Cat Barber,barbeca01,ATL,53176.0,2021-22
Otto Porter,porteot01,GSW,2389641.0,2021-22
Fred VanVleet,vanvlfr01,TOR,19675926.0,2021-22
Josh Green,greenjo02,DAL,2957520.0,2021-22
Jaden McDaniels,mcdanja02,MIN,2063280.0,2021-22
Svi Mykhailiuk,mykhasv01,TOR,1729217.0,2021-22
Jimmy Butler,butleji01,MIA,36016200.0,2021-22
Jon Leuer,leuerjo01,MIL,3169347.0,2021-22
Aaron Henry,henryaa01,PHI,0.0,2021-22
PJ Dozier,doziepj01,ORL,1910860.0,2021-22
Richaun Holmes,holmeri01,SAC,10384500.0,2021-22
Domantas Sabonis,sabondo01,SAC,18500000.0,2021-22
Jae Crowder,crowdja01,PHO,9720900.0,2021-22
Steven Adams,adamsst01,MEM,17073171.0,2021-22
Lauri Markkanen,markkla01,CLE,15690909.0,2021-22
Zach Collins,colliza01,SAS,7000000.0,2021-22
Jarrell Brantley,brantja01,UTA,84414.0,2021-22
Troy Brown,browntr01,CHI,5170564.0,2021-22
Hassan Whiteside,whiteha01,UTA,2401537.0,2021-22
Dwight Howard,howardw01,LAL,2641691.0,2021-22
Nickeil Alexander-Walker,alexani01,UTA,3261480.0,2021-22
Mason Jones,jonesma05,LAL,0.0,2021-22
Justise Winslow,winslju01,POR,3902439.0,2021-22
Chris Clemons,clemoch01,ATL,95930.0,2021-22
Bojan BogdanoviÄ,bogdabo02,UTA,18502000.0,2021-22
Daniel Oturu,oturuda01,MEM,1517981.0,2021-22
Dwight Powell,poweldw01,DAL,11080125.0,2021-22
Matt Mooney,moonema01,NYK,171156.0,2021-22
Bismack Biyombo,biyombi01,PHO,1518213.0,2021-22
Davon Reed,reedda01,DEN,286164.0,2021-22
Malachi Flynn,flynnma01,TOR,2048040.0,2021-22
Rodney Hood,hoodro01,LAC,2239544.0,2021-22
Kendrick Nunn,nunnke01,LAL,5000000.0,2021-22
CJ McCollum,mccolcj01,NOP,30864198.0,2021-22
Dennis SchrÃ¶der,schrode01,HOU,5890000.0,2021-22
Jaylen Hoard,hoardja01,OKC,191860.0,2021-22
Cameron Johnson,johnsca02,PHO,4437000.0,2021-22
Al-Farouq Aminu,aminual01,BOS,151821.0,2021-22
Kyle Anderson,anderky01,MEM,9937150.0,2021-22
Gabe York,yorkga01,IND,0.0,2021-22
Donte DiVincenzo,divindo01,SAC,4675830.0,2021-22
Tyrell Terry,terryty01,DAL,1517981.0,2021-22
Cameron Oliver,oliveca01,ATL,85578.0,2021-22
Aleem Ford,fordal03,ORL,53176.0,2021-22
John Konchar,konchjo01,MEM,2200000.0,2021-22
Trayvon Palmer,palmetr01,DET,53176.0,2021-22
Coby White,whiteco01,CHI,5837760.0,2021-22
Tim Frazier,fraziti01,CLE,128709.0,2021-22
Taurean Prince,princta02,MIN,13000000.0,2021-22
Isaiah Roby,robyis01,OKC,1782621.0,2021-22
Greg Monroe,monrogr01,MIL,138019.0,2021-22
Alfonzo McKinnie,mckinal01,CHI,1293926.0,2021-22
Malcolm Hill,hillma01,ATL,53176.0,2021-22
Isaiah Jackson,jacksis01,IND,2451120.0,2021-22
Jontay Porter,portejo01,MEM,300000.0,2021-22
Dario Å ariÄ,saricda01,PHO,8510000.0,2021-22
Amir Coffey,coffeam01,LAC,153488.0,2021-22
Kelly Oubre,oubreke01,CHO,12000000.0,2021-22
Mamadi Diakite,diakima01,OKC,1040234.0,2021-22
Olivier Sarr,sarrol01,OKC,106352.0,2021-22
Malcolm Brogdon,brogdma01,IND,21700000.0,2021-22
Mohamed Bamba,bambamo01,ORL,7568742.0,2021-22
Josh Hall,halljo01,OKC,0.0,2021-22
Leandro Bolmaro,bolmale01,MIN,2353320.0,2021-22
Arnoldas Kulboka,kulboar01,CHO,0.0,2021-22
Garrett Temple,templga01,NOP,4910000.0,2021-22
Tremont Waters,watertr01,TOR,95930.0,2021-22
Jakob Poeltl,poeltja01,SAS,8750000.0,2021-22
Saddiq Bey,beysa01,DET,2824320.0,2021-22
Charles Bassey,bassech01,PHI,925258.0,2021-22
Scottie Lewis,lewissc01,CHO,0.0,2021-22
Hamidou Diallo,diallha01,DET,5200000.0,2021-22
Gary Clark,clarkga01,NOP,377645.0,2021-22
Jae'Sean Tate,tateja01,HOU,1517981.0,2021-22
Myles Turner,turnemy01,IND,17500000.0,2021-22
DeMarre Carroll,carrode01,SAS,1242340.0,2021-22
Jaxson Hayes,hayesja02,NOP,5348280.0,2021-22
Anthony Davis,davisan02,LAL,35361360.0,2021-22
Devin Vassell,vassede01,SAS,4235160.0,2021-22
Ziaire Williams,willizi02,MEM,4373160.0,2021-22
LeBron James,jamesle01,LAL,41180544.0,2021-22
Scottie Barnes,barnesc01,TOR,7280400.0,2021-22
Facundo Campazzo,campafa01,DEN,2975000.0,2021-22
Brandon Boston,bostobr01,LAC,925258.0,2021-22
Nik Stauskas,stausni01,BOS,423536.0,2021-22
Damian Lillard,lillada01,POR,39344900.0,2021-22
Marvin Bagley,baglema01,DET,11312114.0,2021-22
Chandler Hutchison,hutchch01,PHO,0.0,2021-22
Sterling Brown,brownst02,DAL,3000000.0,2021-22
J.R. Smith,smithjr01,CLE,1456666.0,2021-22
Admiral Schofield,schofad01,OKC,300000.0,2021-22
Tre Jones,jonestr01,SAS,1517981.0,2021-22
Keljin Blevins,blevike01,POR,0.0,2021-22
Shaquille Harrison,harrish01,BRK,205662.0,2021-22
Jon Teske,teskejo01,MEM,53176.0,2021-22
Danny Green,greenda02,PHI,10000000.0,2021-22
Freddie Gillespie,gillefr01,ORL,171156.0,2021-22
Buddy Hield,hieldbu01,IND,22477273.0,2021-22
Chris Silva,silvach01,MIA,383720.0,2021-22
Josh Okogie,okogijo01,MIN,4087904.0,2021-22
Udoka Azubuike,azubuud01,UTA,2075880.0,2021-22
Jay Scrubb,scrubja01,LAC,0.0,2021-22
Reggie Bullock,bullore01,DAL,9536000.0,2021-22
Grayson Allen,allengr01,MIL,4054695.0,2021-22
Gabe Vincent,vincega01,MIA,1669178.0,2021-22
Marcus Garrett,garrema01,MIA,0.0,2021-22
Mike Muscala,muscami01,OKC,3500000.0,2021-22
Kawhi Leonard,leonaka01,LAC,39344900.0,2021-22
